"Node","Score","Impacted","Stressed","Total"
"PJY02","70","19","75","99"
"MRC12B","70","42","7","88"
"HS2272","70","9","97","109"
"HS2058","70","34","8","45"
"SSB05","70","60","58","135"
"UT001D","70","70","31","122"
"HS2262","70","92","70","172"
"LA6008","70","9","107","121"
"CM014A","70","116","3","126"
"PJY01","70","102","1","103"
"PJD29B","70","98","19","127"
"AAD48","70","118","5","144"
"HC4110","70","71","21","176"
"JU006","70","29","136","166"
"PYC22","70","42","128","194"
"AIS25","70","75","66","196"
"CC4025","70","91","1","109"
"DO004A","70","14","181","198"
"AAG03","70","117","1","119"
"HT9016B","70","14","197","213"
"LB5053","70","175","66","249"
"SCR32","70","223","20","247"
"MMY28","70","219","26","254"
"LA6003B","70","257","0","260"
"FJ010B","70","265","76","355"
"BA6017B","71","74","62","143"
"BB5201B","71","49","74","142"
"CC4046","71","14","100","125"
"CC4060A","71","11","123","167"
"CC4071","71","11","126","137"
"HS2651","71","20","114","145"
"HT9016A","71","110","20","148"
"AAG04","71","78","4","90"
"SSB02","71","78","78","158"
"SSG17","71","86","0","88"
"MAN18B","71","88","39","133"
"BB5088","71","66","101","169"
"P056","71","96","42","167"
"SGU11","71","119","11","135"
"CY020B","71","117","27","160"
"HS1196","71","123","1","127"
"AR032A","71","129","3","136"
"PGN08","71","25","145","202"
"LA6104","71","35","109","177"
"VB012","71","113","2","115"
"HS2137","71","38","159","201"
"HS2138","71","57","143","202"
"LL7012","71","112","48","188"
"LB5163","71","75","74","208"
"HC4113","71","10","200","226"
"HS2026","71","165","2","177"
"AIS39","71","189","17","232"
"CT9026","71","203","19","240"
"HT9272","72","-1","0","0"
"HT9242","72","-1","0","0"
"HG3716","72","-1","0","0"
"LL7029","72","70","2","72"
"AMC21","72","46","60","123"
"HS2235","72","59","12","79"
"CC4051B","72","18","92","110"
"AAG19","72","29","56","101"
"BB5116","72","68","3","74"
"HS2668","72","25","74","156"
"CM014B","72","5","118","129"
"PPC19","72","25","98","123"
"CC4060B","72","14","111","146"
"HG3540","72","19","105","153"
"LL7009A","72","160","7","169"
"HS2040","72","125","2","135"
"CA052A","72","13","156","170"
"AMC11","72","160","8","170"
"P057","72","23","164","188"
"HT9036","72","177","5","184"
"LB5036","72","158","7","168"
"MMY59C","72","81","3","100"
"MO011A","72","130","1","136"
"YA001B","72","154","20","180"
"HS2035","72","151","31","184"
"AR016","72","160","3","164"
"CC4105B","72","211","2","223"
"HS2189","72","210","6","250"
"CC4073","72","31","29","310"
"HS2567","72","55","195","321"
"HT9246","73","-1","0","0"
"HT9243","73","-1","0","0"
"LB5082","73","26","139","176"
"AQB12","73","5","85","91"
"HA009B","73","5","89","141"
"HS2643","73","29","89","122"
"HS1105","73","15","0","16"
"PPC24","73","12","103","119"
"LB5040B","73","21","0","138"
"AR032B","73","63","49","120"
"CC4059","73","32","56","160"
"HG3021","73","96","2","110"
"MCR11","73","100","0","104"
"HS2517","73","70","13","95"
"AAG11","73","116","23","157"
"PYC21","73","92","47","155"
"MMY26","73","19","102","147"
"AAD55","73","72","0","78"
"P069","73","23","136","166"
"PAJ01A","73","62","7","86"
"CT9040","73","17","3","198"
"HS2857","73","160","12","177"
"MHM13","73","122","2","198"
"LB5102","73","45","103","209"
"LA6009","73","174","5","182"
"BB5013","73","215","8","236"
"ICO12","73","127","8","144"
"AMC31","73","198","47","258"
"CC4757","74","-1","0","0"
"CA035A","74","157","18","183"
"SCR10","74","44","38","99"
"PYC08","74","31","109","148"
"PYC06","74","20","39","59"
"SCR17","74","42","7","99"
"HS2001","74","23","45","98"
"SGU13","74","15","1","130"
"SSB06","74","29","52","143"
"VA023B","74","52","30","103"
"HS2520","74","15","75","95"
"HS2079","74","70","1","73"
"LB5080","74","109","3","150"
"AAD58","74","79","67","148"
"CC4080","74","57","107","164"
"CO026A","74","76","21","119"
"SSB24","74","96","43","164"
"AAD32","74","13","130","173"
"CO005B","74","106","12","141"
"HS2042","74","47","74","149"
"HC4014B","74","140","4","159"
"AR034A","74","85","6","147"
"HS1194","74","93","24","123"
"AAD34","74","121","7","148"
"HS2228","74","8","95","185"
"HS2251","74","13","142","173"
"HT9004B","74","155","2","158"
"HS2028","74","116","0","117"
"PJD29A","74","130","35","185"
"HS2067","74","133","21","178"
"SCR05","74","213","4","227"
"HT9008","74","140","36","202"
"MAN02","74","44","188","242"
"HS2277","74","121","30","183"
"CC4044","74","197","14","242"
"LB5002","74","212","18","238"
"LL7005","74","200","113","324"
"RG016A","74","162","70","256"
"VA018","74","21","18","263"
"AR024A","74","111","119","239"
"MMY79","74","106","184","321"
"LB5079","75","94","2","99"
"AAD42","75","16","61","119"
"AAD52","75","73","50","126"
"AIS37","75","109","2","120"
"AMC14","75","22","32","102"
"HS2584","75","10","78","88"
"PPC20","75","8","68","76"
"AAG05","75","57","67","138"
"AAD17","75","73","11","93"
"HG3009","75","29","24","63"
"RG044","75","21","1","76"
"MMY03A","75","9","30","156"
"MAN17A","75","76","12","116"
"HG3022","75","69","29","119"
"HS2045","75","57","30","113"
"MMY16","75","81","51","166"
"FJ026","75","82","29","127"
"CA073","75","41","8","304"
"MMY12","75","132","13","158"
"CS2108","75","11","144","163"
"HC4200","75","70","40","116"
"CC4759/4761","75","84","3","97"
"CY024B","75","70","58","135"
"HS2111","75","6","150","159"
"HG3565","75","48","9","60"
"HS2645","75","12","7","178"
"HC4202","75","105","3","118"
"MCR13","75","83","38","132"
"UT001A","75","85","4","167"
"HS2163","75","33","122","172"
"PPC78","75","90","52","180"
"SCR08","75","132","0","136"
"JU009","75","45","2","183"
"AR020A","75","54","23","140"
"CC4030","75","65","63","183"
"LB5105","75","33","173","289"
"LL7077/LL7074","75","68","0","69"
"MHM10","75","11","137","195"
"AIS24","75","39","103","216"
"PPN12","75","73","105","204"
"P142A","75","12","0","206"
"HS2215","75","123","0","132"
"BB5016","75","15","92","228"
"GPT03A","75","116","84","236"
"HS2155","75","25","96","230"
"AR026B","75","146","3","156"
"NA003A","75","26","167","244"
"BB5011","75","128","130","271"
"PJD38","75","25","176","280"
"CC4004","75","251","7","263"
"LB5255","76","-1","0","0"
"CA054B","76","19","5","123"
"JU007B","76","60","78","191"
"BB5152B","76","10","140","158"
"OR001B","76","67","2","70"
"LU007","76","39","48","88"
"SB009","76","33","53","127"
"ISI14","76","14","3","103"
"SB006","76","38","57","120"
"HS2258","76","2","75","87"
"CM009A","76","14","3","64"
"SSB25","76","76","16","98"
"PPC70A","76","31","51","104"
"PYC01","76","21","46","113"
"UT001B","76","55","16","111"
"AAD53","76","10","40","144"
"FJ033","76","19","27","171"
"HT9280/HT9281/HT9282/HT9283","76","57","59","118"
"HC4122","76","26","71","115"
"MMY84","76","59","71","171"
"AR034B","76","54","36","93"
"HS2255","76","17","128","167"
"CA010B","76","7","34","168"
"ISL13","76","90","2","98"
"MO002A","76","58","31","135"
"ISL02","76","15","117","194"
"HS2125","76","69","3","73"
"MMY10","76","130","1","136"
"P092","76","70","0","78"
"LL7118C/LL7118D","76","81","0","83"
"LL7021","76","78","134","240"
"HS2506","76","91","0","91"
"HS2709","76","45","0","46"
"AAD50","76","144","4","151"
"PPC47","76","100","2","140"
"LA004","76","106","15","130"
"SB004","76","95","8","110"
"HS2140","76","13","59","204"
"PPC31","76","25","158","235"
"AIS20","76","154","82","258"
"CT9025","76","144","68","231"
"PJD05","76","53","137","201"
"LB5017","76","21","156","295"
"LB5108D","76","31","219","264"
"P082","76","55","165","267"
"HS2225","76","171","12","197"
"LL7013","76","114","127","243"
"HS2093","76","46","211","271"
"HT9245","77","-1","0","0"
"LB5018","77","25","78","139"
"LB5052B","77","26","89","154"
"CD31/CD30","77","2","64","70"
"HS2227","77","2","68","72"
"HS2136","77","24","38","74"
"LA009","77","65","51","134"
"SCR18","77","52","52","137"
"HS2143","77","90","6","110"
"HG3717/3718/3715/3716","77","11","71","83"
"LL7061A","77","13","85","106"
"LL7061B","77","10","63","129"
"BA013A","77","40","63","129"
"HS2586","77","15","56","72"
"HS2263","77","40","15","58"
"SCR37","77","15","44","100"
"HS2596A","77","5","81","112"
"AR012A","77","36","6","54"
"CC4016","77","9","76","130"
"HS1199","77","19","51","71"
"AAD21","77","58","49","127"
"HS2670","77","30","22","105"
"AI002B","77","43","1","46"
"MMY87","77","93","36","140"
"HC4118A","77","45","9","176"
"SCR40","77","28","75","175"
"AMC30","77","57","81","168"
"HG3018","77","55","37","93"
"HS2860","77","6","101","119"
"P073","77","169","1","175"
"SSB12","77","24","123","181"
"HS2677","77","4","129","148"
"PPN10","77","14","145","160"
"CC4005","77","19","103","126"
"MAN16A","77","53","3","103"
"LL7035","77","104","48","170"
"ICO16B","77","111","17","147"
"CT9003","77","11","32","208"
"HS2281","77","3","127","143"
"LL7048","77","188","6","206"
"AR020B","77","63","11","124"
"HS2504","77","46","74","166"
"CM006B","77","155","17","176"
"SLJ17","77","83","9","168"
"MMY88","77","87","86","191"
"PPN07","77","103","49","189"
"LA6004","77","95","6","107"
"MRC16A","77","129","16","188"
"SSG11","77","134","23","202"
"SCR35","77","194","8","215"
"CC4400","77","38","123","223"
"RG0038","77","50","149","221"
"GPT03","77","111","41","201"
"MCR11A","77","135","55","195"
"HS2069","77","98","6","227"
"AIS08","77","90","103","227"
"HS2007","77","148","1","154"
"PPC02A","77","203","7","219"
"HM005B","77","200","11","224"
"PYC04","77","77","150","302"
"HM012B","77","302","1","305"
"VB042","78","-1","0","0"
"HT9250","78","-1","0","0"
"HT9213","78","-1","0","0"
"CA015","78","30","78","202"
"LB5058","78","22","1","189"
"HG3007","78","49","5","54"
"AAG06","78","50","9","69"
"MMY74","78","40","2","43"
"AAG12","78","8","90","104"
"MMY72","78","29","17","81"
"HG3055","78","13","4","95"
"CD006D","78","36","0","38"
"CA013","78","21","81","111"
"HS2175","78","23","45","114"
"AIS40","78","111","0","111"
"AIS42","78","47","70","161"
"HS2521","78","25","83","134"
"RG019B","78","26","1","115"
"PVA03","78","9","39","119"
"VB030","78","3","95","101"
"MAN08B","78","9","61","70"
"HS2264","78","73","17","93"
"CA021D","78","17","74","150"
"HS2254","78","46","44","142"
"MMY03B","78","13","116","167"
"SB007D","78","56","19","79"
"AB002","78","15","29","160"
"LB5074","78","61","127","214"
"LB5027","78","80","81","176"
"HS2621","78","16","53","144"
"PPC45","78","71","40","133"
"SB005A","78","81","2","98"
"MMY82","78","77","0","78"
"HS2601","78","63","69","152"
"CA067A","78","67","14","100"
"HM034B","78","59","16","117"
"BA002A","78","117","6","134"
"HG3000","78","26","123","163"
"HS2211","78","56","69","129"
"AR007","78","58","1","64"
"LA6002C","78","10","83","272"
"LL7007","78","11","47","199"
"HS2237","78","26","91","133"
"SCR21","78","138","28","173"
"BB5015","78","66","73","189"
"P061A","78","93","20","115"
"CT9033","78","11","1","189"
"LA001A","78","34","111","164"
"CA072B","78","26","53","209"
"LL7006","78","74","60","141"
"SSG13","78","5","167","174"
"P071B","78","126","3","129"
"LA6024","78","139","2","141"
"ARC14","78","49","73","199"
"BB5202A","78","36","40","207"
"LA6049/6052","78","60","2","67"
"HS2703","78","30","144","199"
"CT9002","78","164","1","165"
"BB5159","78","12","6","234"
"P083","78","33","146","226"
"MHM11","78","7","112","241"
"HC4002","78","18","55","243"
"CA084B","78","71","141","235"
"LU002B","78","73","90","254"
"LB5066","78","12","4","239"
"CC4095","78","38","191","239"
"CC4126","78","33","159","246"
"PPC85","78","167","48","239"
"PJD18","78","129","111","266"
"ICO20","78","121","116","266"
"CA085A","78","228","21","252"
"SLJ15","78","121","13","297"
"LU005B","78","33","119","374"
"CA093/CA094","79","8","1","71"
"GU015C","79","31","1","117"
"LA6101","79","40","31","77"
"LA6003C","79","38","44","94"
"LB5500","79","15","61","163"
"BB5164","79","52","86","182"
"LL7114","79","31","83","195"
"GGY30A","79","28","4","43"
"HM008B","79","3","39","70"
"PPN08","79","10","41","90"
"AIS38","79","22","40","127"
"AMC19","79","12","28","155"
"MAN15B","79","56","3","59"
"CC4024","79","26","71","134"
"MMY33","79","26","57","90"
"MAN09B","79","63","24","103"
"CC4029C","79","30","5","130"
"HS2252","79","27","55","87"
"HC4208","79","79","5","84"
"SGU15","79","61","4","107"
"NA007B","79","18","30","84"
"RG021","79","9","1","118"
"NR002B","79","98","12","127"
"HS2041","79","42","80","173"
"LK8000A","79","18","54","152"
"HS2636","79","5","23","95"
"CA025A","79","7","30","110"
"LB5042","79","16","71","168"
"AAD54A","79","101","11","121"
"HS2160","79","20","67","91"
"RG023A","79","50","17","166"
"MMY90","79","34","100","144"
"AMC06","79","32","99","183"
"HT9039","79","119","17","149"
"CI004A","79","63","2","155"
"CC4101A","79","10","48","150"
"HS2675","79","42","2","66"
"AAD04","79","94","1","97"
"BB5202B","79","30","39","148"
"CC4094B","79","22","12","171"
"PJD13","79","89","10","105"
"P065","79","51","67","155"
"MT020B","79","85","2","88"
"AR017B","79","72","2","87"
"HS2081/HS2084","79","23","92","198"
"HS2253","79","45","94","182"
"RG008C","79","10","167","185"
"VB001B","79","18","114","133"
"HG3563","79","77","50","164"
"HM015A","79","18","31","212"
"AR048","79","156","14","187"
"LB5072","79","119","48","202"
"LL7049","79","7","53","220"
"AAG13","79","11","114","186"
"GMN04","79","66","62","159"
"GGY10","79","94","3","105"
"HS2596B","79","4","117","180"
"LL7008","79","60","87","200"
"CD001B","79","110","69","183"
"HM001D","79","23","130","197"
"CT9028","79","8","141","160"
"LB5081","79","27","205","247"
"HG3008","79","51","0","56"
"HG3017","79","118","1","121"
"RG031","79","46","79","129"
"LK8001A","79","121","6","142"
"CY015B","79","137","13","155"
"SCR38","79","54","108","200"
"SL003","79","12","91","218"
"YA006A","79","14","122","243"
"CC4017","79","224","3","234"
"AR030B","79","104","0","106"
"LB5004","79","94","86","239"
"SB003B","79","82","91","210"
"VB005A","79","103","1","111"
"HS2624","79","86","77","247"
"NA002B","79","193","17","221"
"HM035","79","116","39","205"
"MHM09","79","89","171","266"
"ICO04","79","207","5","214"
"HS2502","79","208","27","237"
"CC4050","79","258","35","298"
"FJ007A","79","49","157","296"
"ISI08","79","249","30","284"
"CS2109","79","174","49","273"
"HT9219","80","-1","0","0"
"CA039A","80","13","97","143"
"LL7015","80","15","40","61"
"LB5077","80","19","94","154"
"LB5104","80","18","40","161"
"LB5069","80","16","60","188"
"LL7023","80","9","106","122"
"RG045","80","12","19","92"
"SLJ12","80","14","1","97"
"CB004A","80","2","43","75"
"MMY43","80","41","2","47"
"PPC84","80","22","42","119"
"LA6107","80","36","73","137"
"LB5040A","80","12","1","90"
"SCR28","80","71","20","133"
"AAD06","80","10","40","122"
"BQ001A","80","27","52","93"
"HS2226","80","17","47","95"
"HS2655","80","69","54","159"
"HS2656","80","31","15","59"
"AAG09","80","53","0","53"
"SLJ07","80","12","90","105"
"AAD26","80","20","75","156"
"DO016B","80","13","147","166"
"P064","80","38","6","106"
"MO008","80","4","51","128"
"CA062A","80","94","1","96"
"RG029B","80","7","43","50"
"CC4066","80","17","36","160"
"CA020A","80","18","19","129"
"BA007","80","53","29","98"
"AAD54","80","36","81","177"
"HG3504","80","29","80","164"
"AMC05","80","52","64","148"
"CC4771/4774","80","14","58","96"
"BQ001C","80","58","1","61"
"CM005A","80","44","73","151"
"SSB03","80","10","58","138"
"HM040","80","22","2","125"
"CA017B","80","17","140","186"
"SSB09/SSB11","80","13","42","172"
"PPC73","80","6","92","116"
"HS2604","80","80","50","179"
"HS2114B","80","16","30","170"
"DO029","80","15","4","180"
"AAG26","80","80","28","121"
"MHM01","80","61","39","123"
"RG032A","80","13","113","146"
"ISI05A","80","86","20","119"
"HC4521B","80","46","126","186"
"CC4037","80","15","20","173"
"HS2003","80","61","81","161"
"HC4112","80","68","0","75"
"MAN17B","80","62","8","90"
"AR050A","80","80","1","89"
"SB010B","80","82","22","109"
"AR006B","80","63","17","91"
"AI001B","80","36","72","170"
"MMY65","80","45","109","177"
"CA035B","80","8","15","269"
"MHM04A","80","35","84","146"
"RG032C","80","21","138","182"
"HS2642","80","14","102","133"
"LL7011","80","125","59","199"
"HS2159","80","139","19","168"
"HS2180","80","69","29","121"
"SSG16A","80","85","17","115"
"LL7034","80","8","36","190"
"MRC05A","80","45","8","130"
"VB028A","80","15","129","196"
"HM034A","80","25","6","186"
"AR030A","80","67","8","83"
"MRC10B","80","39","16","205"
"CD002","80","49","5","203"
"HS2130","80","137","0","138"
"CT9115","80","30","67","239"
"SLJ06","80","90","4","98"
"FJ009","80","22","1","239"
"CM011A","80","111","3","120"
"CC4031","80","55","117","211"
"BB5111","80","29","206","292"
"MMY80","80","93","94","233"
"SB008","80","119","8","215"
"AIS43","80","105","78","220"
"CC4068","80","9","20","227"
"BB5090","80","16","160","243"
"P097","80","64","108","223"
"BB5151","80","17","52","265"
"CC4058","80","19","80","274"
"PYC15","80","123","73","223"
"PGN10","80","17","118","252"
"MMY29","80","111","49","206"
"CC4052","80","17","51","261"
"HG3048","80","19","116","267"
"PYC13","80","52","118","225"
"MMY40","80","88","89","249"
"LL7000A","80","66","192","263"
"BB5205","80","120","85","219"
"AAD22","80","142","75","256"
"SSB13","80","12","261","273"
"HG3738","81","-1","0","0"
"HT9276","81","-1","0","0"
"CC4781","81","-1","0","0"
"CA092","81","6","4","60"
"CA041","81","13","6","142"
"CA047A","81","34","2","39"
"JU31B","81","9","22","129"
"PJY05","81","21","46","125"
"DO030A","81","16","41","84"
"HS2816/2818","81","7","0","7"
"HS2214","81","16","6","81"
"HA004B","81","6","49","100"
"SSG18","81","17","57","128"
"HS2221","81","18","74","155"
"DO058","81","15","2","121"
"UT005B","81","13","37","83"
"HG3006","81","61","34","103"
"MT020A","81","33","57","142"
"AMC18","81","19","48","155"
"HS2009","81","16","32","48"
"HS2813","81","18","57","89"
"AIS31","81","9","37","74"
"AAD15","81","2","45","47"
"DO015B","81","22","48","95"
"AQB09","81","77","0","78"
"MMY86","81","28","6","161"
"MMY85","81","54","77","164"
"MMY69","81","15","13","98"
"AIS21","81","16","1","148"
"MHM08","81","9","24","152"
"MMY34","81","44","6","56"
"LU006","81","9","10","181"
"VA020B","81","27","50","101"
"CC4090A","81","29","73","131"
"YA002A","81","28","34","70"
"JU31A","81","2","45","110"
"MMY66A","81","10","76","174"
"HT9015B","81","22","2","95"
"CM013","81","24","0","24"
"SSB16","81","72","68","146"
"SL002B","81","11","125","265"
"P095","81","21","77","151"
"HG3595","81","14","49","103"
"SSG15","81","17","8","131"
"HA007A","81","30","70","152"
"MMY54","81","38","50","106"
"HS2112","81","68","25","120"
"P142","81","5","83","97"
"JU007A","81","16","6","251"
"MMY76","81","14","6","92"
"HS2161","81","80","4","99"
"GAR15A","81","34","7","167"
"LL7057","81","47","6","55"
"JU008B","81","11","27","120"
"BB5167","81","79","32","118"
"SSB01","81","6","41","125"
"NA008A","81","15","25","191"
"CS2811","81","136","2","144"
"ICO23","81","9","135","161"
"HS2276","81","12","42","178"
"MCR15A","81","31","37","112"
"CA012A","81","137","1","139"
"CC4101B","81","8","90","145"
"PPC53B","81","5","0","145"
"LZ001B","81","62","17","83"
"RG027","81","11","122","149"
"CC4086","81","40","148","197"
"AIS05","81","38","109","188"
"HT9014","81","124","22","169"
"RG001A","81","8","24","107"
"CO004B","81","93","1","97"
"CC4075","81","24","4","203"
"LB5057","81","23","132","275"
"MAN16B","81","37","2","93"
"HS2021","81","62","45","117"
"MHM05","81","39","76","181"
"CC4090B","81","8","1","191"
"PYC14","81","11","6","210"
"CM002A","81","93","47","162"
"MAN18A","81","59","12","123"
"LB5067","81","19","121","253"
"HS2610","81","16","123","222"
"AAG29","81","88","71","179"
"HS2156","81","44","79","203"
"SB042/43/44","81","71","4","76"
"CC4087","81","12","84","209"
"PGN01","81","25","137","182"
"CM004A","81","27","106","136"
"PYC11","81","26","51","220"
"SB002","81","71","21","105"
"LB5028","81","39","88","220"
"CS2105","81","9","46","227"
"PYC10","81","57","94","212"
"HG3754/3747","81","74","3","91"
"ICO22","81","115","55","187"
"LL7036","81","36","192","238"
"HG3505","81","105","1","108"
"MHM15","81","18","220","242"
"CC4019","81","14","6","251"
"MMY11","81","51","71","219"
"HS2043","81","4","215","227"
"LL7010","81","119","74","283"
"MT023","81","176","1","181"
"CN005A","81","191","16","208"
"HC4111","81","70","153","238"
"HT9037","81","225","14","241"
"HM009A","81","53","78","334"
"HB5202","82","-1","0","0"
"HS2024","82","-1","0","0"
"AB007/AB008","82","7","5","96"
"CA039B","82","3","110","131"
"HS2139","82","9","21","33"
"LB5056","82","13","6","228"
"LB5085","82","18","45","108"
"HS2266","82","13","117","142"
"CA046B","82","10","161","181"
"AMC24","82","81","47","153"
"LA6100","82","55","92","197"
"LB5052A","82","38","109","148"
"CA064B","82","9","6","159"
"MHM07","82","8","131","150"
"SSB19","82","15","65","110"
"HM008A","82","11","6","125"
"CC4084","82","12","4","139"
"CC4033","82","17","63","157"
"HS2123","82","54","44","157"
"CC4034A","82","14","5","105"
"AMC02","82","28","80","132"
"HA023B","82","6","47","93"
"HS2688","82","6","36","44"
"HS2299","82","10","28","41"
"MRC02B","82","26","10","130"
"AQB19","82","19","45","91"
"AMC09","82","87","28","135"
"SCR20","82","39","48","104"
"PGN09A","82","7","0","96"
"PYC07","82","51","51","127"
"PYC03B","82","15","1","138"
"SSG14","82","21","81","163"
"GGY15","82","55","25","80"
"FJ012A","82","39","9","120"
"SSG22B","82","16","36","87"
"PPC10C","82","9","67","98"
"JU30","82","8","51","171"
"HA011/HA012","82","10","32","44"
"AR074","82","6","8","68"
"AR031","82","46","53","120"
"MLM02","82","26","39","115"
"MAN13A","82","26","7","85"
"LZ002B","82","17","5","184"
"HA001B","82","14","87","168"
"HS2038","82","25","56","129"
"DO055","82","19","41","165"
"PVA07B","82","46","25","78"
"HS2405","82","6","102","182"
"JU025A","82","90","1","99"
"HS2177","82","36","4","79"
"VB024B","82","6","68","76"
"LP012A","82","11","24","180"
"SGU02","82","40","55","107"
"HC4211","82","8","24","124"
"LL7119B","82","7","53","164"
"CS2100","82","62","51","120"
"HS2503","82","18","1","191"
"LA6031","82","15","91","146"
"MMY66","82","17","9","152"
"HM017B","82","15","41","127"
"AAD31","82","80","7","111"
"AQB17","82","78","53","147"
"AIS18","82","74","3","80"
"CC4079A","82","106","8","118"
"AR029","82","30","71","129"
"AR006C","82","40","25","93"
"PPC86","82","14","71","201"
"CC4104B","82","72","3","80"
"HT9239/9252/9253/9254","82","81","3","85"
"YA011","82","32","2","183"
"MMY35","82","62","22","86"
"AQB05","82","37","114","178"
"HS2233","82","72","64","171"
"PPC101","82","19","77","157"
"SCR31","82","26","118","205"
"PPC74","82","29","72","186"
"CC4106","82","10","176","209"
"HT9238/HT9240/HT9242/HT9243","82","58","30","97"
"CC4401B","82","11","134","164"
"MCR15","82","89","0","92"
"CC4401C/D","82","78","23","106"
"PPC53D","82","3","114","152"
"VB039A","82","46","96","184"
"AIS41","82","16","5","235"
"CN005B","82","32","91","245"
"SCR39","82","150","38","202"
"FJ003A","82","98","88","232"
"CC4096B","82","9","133","211"
"CD33/CD34/CD35","82","11","113","126"
"AAD33","82","11","139","187"
"LA6002A","82","30","60","228"
"SLJ02","82","10","63","256"
"VA019A","82","22","11","216"
"CC4042","82","54","77","233"
"LL7115","82","6","29","224"
"AIS44","82","157","0","179"
"AAD56","82","48","160","275"
"SCR25","82","191","2","203"
"ISI04","82","106","69","236"
"NA001A","82","154","67","229"
"MMY13","82","11","131","288"
"BB5089","82","15","251","302"
"AMC15","82","183","89","316"
"LB5087","82","190","51","261"
"FJ010A","82","166","59","232"
"NA013","82","28","205","329"
"CD031","83","-1","0","0"
"CC4772","83","-1","0","0"
"LA6048","83","-1","0","0"
"AB005A","83","4","7","89"
"CA31D","83","11","32","154"
"CA042D","83","37","2","104"
"CA040C","83","32","66","185"
"GU009","83","31","90","142"
"CA042B","83","52","2","114"
"CA046A","83","13","58","157"
"ISL34","83","6","0","15"
"AMC16","83","7","3","118"
"CD011A","83","6","16","97"
"VB024A","83","29","10","42"
"AAD24","83","11","3","125"
"MAN10A","83","45","4","49"
"AAG22","83","25","50","105"
"HM002A","83","14","44","167"
